Composer	Title	Where	Sung
Aichinger	Factus est repente	4thCh p2	
Aichinger	Regina caeli	4thCh p7	
Amner	Lift up your heads O ye gates	XVIAB p41	
Amner	O God my King	AfC1 p130	
Anerio	Alleluia. Christus surrexit	Ash p156	
Anerio	Christus factus est	Ash p52; 1stCh p1	🟢
Anerio, G. F. 	Requiem aeternam	1stCh p4	
Anon.	Easter Alleluias: (a) Antiphon with psalm tone, (b) Plainchant Alleluia	Ash p154	🟢
Anon. 	Come, rock the cradle for him	CfC3 p53	
Anon. (16th Century)	O Lord, the maker of all thing	XVIAB p85	
Anon. (16th Century)	Rejoice in the Lord alway	XVIAB p1; Adv p162; ECM1 p1	🟢
Anon. (16th Century)	This is the day	XVIAB p32	
Arcadelt	Haec dies	NCAB p146; 5thCh p2	
Arcadelt	O Lord, my God, to thee	NCAB p293	
Arcadelt (attrib.)	Ave Maria	NOEAB p12	
Archer	Advent Wreath Prayers	Adv p16	
Archer	And I saw a new heaven	NOEAB p6	
Archer	Ave Maria	Adv p33	
Archer	Creator of the stars of night	Adv p56	
Archer	Prayer for the Blessing of Light	Adv p160	
Archer	The Linden Tree Carol	Adv p180	🟢
Archer	The Lord goes up	NOEAB p210	
Archer (arr.)	Alma redemptoris mater	Adv p22	
Archer (arr.)	On Jordan's bank	Adv p146	
Archer (arr.)	People, look East	NOEAB p176	
Archer (arr.)	The Angel Gabriel	Adv p171	
Armstrong Gibbs	Bless the Lord, O my soul	OEAB p91	
Armstrong Gibbs	O, praise God in His holiness	OEAB p112	
Armstrong Gibbs	The strife is o'er	OEAB p46	
Armstrong Gibbs	While the shepherds were watching	CfC1 p168	
Arne	Help me, O Lord	OEAB p133	
Aston	I give you a new commandment	NOEAB p93	
Aston	So they gave their bodies	NCAB p416	
Attwood	Come, Holy Ghost	NCAB p100; NOEAB p40	
Attwood	O God, who by the leading of a star	AfC1 p123	
Attwood	Teach me, O Lord	NOEAB p206; AfC1 p196	
Attwood	Turn thy face from my sins	NCAB p494	
Bach, J.S.	All people at this hour	OEAB p78	
Bach, J.S.	Awake us, Lord, and hasten	AfC1 p34	
Bach, J.S.	Awake, thou wintry earth	NCAB p53	
Bach, J.S.	Come sweetest death	OEAB p134	
Bach, J.S.	Dearest Lord Jesu	OEAB p1	
Bach, J.S.	Flocks in pastures green abiding	OEAB p136	
Bach, J.S.	Forget me not	OEAB p141	
Bach, J.S.	God is living, God is here	AfC1 p212	
Bach, J.S.	God is our hope and strength	AfC1 p59	
Bach, J.S.	Here lies He now	OEAB p25	
Bach, J.S.	Jesu, hope of men despairing	OEAB p35	
Bach, J.S.	Jesu, joy of man's desiring	NCAB p185; NOEAB p101	🟢
Bach, J.S.	Jesu, lead my footsteps ever	NCAB p193	
Bach, J.S.	King of glory, King of peace	NCAB p201	
Bach, J.S.	St. Matthew Passion	Loose, Novello edition	
Bach, J.S.	Subdue us by Thy goodness	NCAB p421	
Bach, J.S.	Up, up, my heart! with gladness	AfC1 p206	
Bach, J.S.	Wie soll ich dich empfangen (from The Christmas Oratorio)	Adv p213	
Bach, J.S.	Ah! dearest Jesu (from The Christmas Oratorio)	CfC3 p22	
Bach, J.S.	And there were shepherds	CfC1 p10	
Bach, J.S.	With all thy hosts (from The Christmas Oratorio)	CfC3 p22	
Bach, J.S.	Zion hört die Wächter singen	CfC2 p214	🟢
Bach, J.S. (harm.)	O little one sweet	CfC1 p87	
Bain	Brother James' Air	NOEAB p30	
Bainton	A babe is born I wys	CfC2 p6	
Bairstow	I sat down under his shadow	AfC1 p74	🟢
Bairstow	Jesu, the very thought of thee	NCAB p197; ECM1 p6	
